Date,Score
2010-07-01,#N/A
2010-07-02,0.090935923
2010-07-06,0.052680377
2010-07-07,-0.959829509
2010-07-08,0.066599429
2010-07-09,0.05918166
2010-07-12,-0.564620554
2010-07-13,0.063788183
2010-07-14,-0.136359006
2010-07-15,-0.912238955
2010-07-16,-0.052152313
2010-07-19,-0.327536702
2010-07-20,0.799979031
2010-07-21,#N/A
2010-07-22,-0.568887889
2010-07-23,-0.837758601
2010-07-26,0.906983912
2010-07-27,0.862360358
2010-07-28,0.641930938
2010-07-29,#N/A
2010-07-30,0.441597819
2010-08-02,0.921690285
2010-08-03,#N/A
2010-08-04,0.009314563
2010-08-05,0.032254674
2010-08-06,0.065721132
2010-08-09,0.075015701
2010-08-10,0.657365084
2010-08-11,-0.009785369
2010-08-12,0.77986598
2010-08-13,#N/A
2010-08-16,#N/A
2010-08-17,0.464489013
2010-08-18,0.190349787
2010-08-19,-0.898323298
2010-08-20,#N/A
2010-08-23,#N/A
2010-08-24,0.767705441
2010-08-25,0.106529266
2010-08-26,#N/A
2010-08-27,-0.856098354
2010-08-30,-0.889979362
2010-08-31,0.05804985
2010-09-01,-0.030800536
2010-09-02,0.648920059
2010-09-03,0.190761149
2010-09-07,#N/A
2010-09-08,-0.944451034
2010-09-09,0.730453968
2010-09-10,-0.940160871
2010-09-13,0.549297333
2010-09-14,0.237793177
2010-09-15,0.90804249
2010-09-16,0.568740487
2010-09-17,0.010540446
2010-09-20,0.914342344
2010-09-21,0.828706503
2010-09-22,0.610023618
2010-09-23,0.862225711
2010-09-24,0.771868527
2010-09-27,0.027646901
2010-09-28,0.845753312
2010-09-29,-0.86555177
2010-09-30,-0.964063227
2010-10-01,-0.506145835
2010-10-04,-0.640489817
2010-10-05,0.795146585
2010-10-06,-0.892223775
2010-10-07,0.518886685
2010-10-08,0.161398456
2010-10-11,-0.534443855
2010-10-12,0.293437898
2010-10-13,0.129197106
2010-10-14,0.114854179
2010-10-15,-0.155904561
2010-10-18,0.033656813
2010-10-19,-0.878928721
2010-10-20,0.074548133
2010-10-21,0.667165995
2010-10-22,-0.270037442
2010-10-25,0.685057402
2010-10-26,-0.253013521
2010-10-27,-0.785325944
2010-10-28,-0.755904913
2010-10-29,0.936825991
2010-11-01,#N/A
2010-11-02,0.322985739
2010-11-03,-0.88487184
2010-11-04,0.721497774
2010-11-05,-0.043849938
2010-11-08,0.089646526
2010-11-09,0.060959011
2010-11-10,0.130669236
2010-11-11,#N/A
2010-11-12,-0.897379279
2010-11-15,0.430203855
2010-11-16,0.004397592
2010-11-17,0.898186803
2010-11-18,0.761576653
2010-11-19,-0.93467468
2010-11-22,0.105307057
2010-11-23,-0.629273415
2010-11-24,0.182379663
2010-11-26,0.889657021
2010-11-29,0.084376119
2010-11-30,0.179172829
2010-12-01,-0.297080189
2010-12-02,0.236388534
2010-12-03,0.899444759
2010-12-06,-0.849183083
2010-12-07,0.935239136
2010-12-08,0.511338055
2010-12-09,0.713715374
2010-12-10,0.375659525
2010-12-13,0.018964276
2010-12-14,-0.96327579
2010-12-15,0.824171484
2010-12-16,0.24364838
2010-12-17,-0.001538908
2010-12-20,0.241023034
2010-12-21,-0.655303538
2010-12-22,0.056354649
2010-12-23,-0.585372448
2010-12-27,0.637086868
2010-12-28,0.006823463
2010-12-29,-0.045523256
2010-12-30,-0.758094549
2010-12-31,0.085048996
2011-01-03,0.935394108
2011-01-04,0.10997501
2011-01-05,0.068274044
2011-01-06,0.052057795
2011-01-07,0.041872866
2011-01-10,0.913129449
2011-01-11,0.494760245
2011-01-12,0.448462784
2011-01-13,0.706343055
2011-01-14,0.027561337
2011-01-18,-0.074529588
2011-01-19,-0.052984618
2011-01-20,0.093350351
2011-01-21,0.033027083
2011-01-24,0.008412611
2011-01-25,0.600362241
2011-01-26,0.935139954
2011-01-27,-0.559476495
2011-01-28,0.167693332
2011-01-31,0.879782081
2011-02-01,0.071094841
2011-02-02,0.056187648
2011-02-03,-0.433947772
2011-02-04,0.263613105
2011-02-07,0.707134008
2011-02-08,0.446861744
2011-02-09,0.127465487
2011-02-10,-0.182227194
2011-02-11,0.035847887
2011-02-14,0.834805071
2011-02-15,0.075618103
2011-02-16,0.798155606
2011-02-17,-0.436094463
2011-02-18,-0.323341519
2011-02-22,0.042017899
2011-02-23,-0.400794774
2011-02-24,0.647623658
2011-02-25,0.614816606
2011-02-28,-0.020688307
2011-03-01,0.073917747
2011-03-02,-0.953263938
2011-03-03,0.79112047
2011-03-04,0.374120802
2011-03-07,-0.951710463
2011-03-08,0.03086346
2011-03-09,-0.923571527
2011-03-10,-0.945316494
2011-03-11,0.090456001
2011-03-14,0.175758228
2011-03-15,-0.857456088
2011-03-16,0.791648209
2011-03-17,-0.940735459
2011-03-18,0.088270053
2011-03-21,-0.262934297
2011-03-22,-0.698208511
2011-03-23,0.039449908
2011-03-24,0.885045826
2011-03-25,0.664366782
2011-03-28,-0.669652462
2011-03-29,0.306412429
2011-03-30,0.843751729
2011-03-31,0.748354614
2011-04-01,#N/A
2011-04-04,-0.715127409
2011-04-05,-0.794116318
2011-04-06,0.088685803
2011-04-07,0.935437739
2011-04-08,-0.1266803
2011-04-11,-0.959481895
2011-04-12,0.763454616
2011-04-13,-0.06692981
2011-04-14,-0.037293382
2011-04-15,#N/A
2011-04-18,#N/A
2011-04-19,-0.259169728
2011-04-20,-0.834999084
2011-04-21,-0.001912501
2011-04-25,-0.785052657
2011-04-26,0.044139281
2011-04-27,-0.201485276
2011-04-28,-0.434948444
2011-04-29,0.047406133
2011-05-02,0.061278783
2011-05-03,0.770102322
2011-05-04,0.547109723
2011-05-05,#N/A
2011-05-06,0.913201749
2011-05-09,-0.623051524
2011-05-10,-0.11885646
2011-05-11,-0.146133929
2011-05-12,#N/A
2011-05-13,#N/A
2011-05-16,-0.740458369
2011-05-17,-0.038063049
2011-05-18,-0.968766809
2011-05-19,-0.044336945
